Area,Location,Asset Type,Defect Description,Repair Description,Timeframe,Photo Reference
External,External,"Building External, Roof",External roof structural canopy members exhibit minor surface corrosion throughout.,Treat corrosion throughout externally exposed structural roof members.,,"https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=7529d989-3143-4962-9ad3-31b2d2b69fd6&type=photo&expires=1779173425&signature=yglm6RW6BCLfiwRsYWUGcIZ1sPuCu6M7dZvQSviduTY%3D, https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=8cb0c8ae-da91-4b5d-b21b-31f02eb2d09a&type=photo&expires=1779173425&signature=xG8DXeMEBe%2BslEQokd8O1XNi%2FXoE1Z0Bof7mcs2Att8%3D"
External,External,"Building External, Gutters",Box gutters along perimeter of building exhibit minor corrosion at connection points to downpipes.,Treat corrosion at connection points to downpipes.,,https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=4ebbfe09-f03a-4bcc-97f9-1d71856a0d03&type=photo&expires=1779173425&signature=utGb6TRVtZrIZtOH9GQSz%2FnB6xclvck%2F%2BVqzmdxjvgo%3D
External,External,"Building External, Softfall",CHS steel stumps within building subfloor exhibit moderate to severe corrosion throughout.,Subfloor structural stumps may need to be cleaned and corrosion treated or replaced depending on % section loss.,,"https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=f6d7b5b5-8c6f-4da1-9a41-e94c7914b91a&type=photo&expires=1779173425&signature=Cea3zz9gYhDHzSk1Ica1fPvT4BM5THaT23uyLpH06Wc%3D, https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=158f96a7-d56b-426e-b0ad-bc334c0aa9e2&type=photo&expires=1779173425&signature=oF6AXuBQYmC79I6Jiastq3ovlsX9TBtDqjTkI0o9dXg%3D"
