Building Internal
Main Area,Switchboards,,Good,Operational,No Record

Building External
Location,Asset Sub-Type,Type/Material,Condition,Quantity,Unit,Comments
External (Office and Carpark),Smoking Area Structure (rear office),Structure,Fair,,,Minor corrosion of flooring surface and bench connections.
External (Office and Carpark),Water Tanks,,Good,2,no,
External (Office and Carpark),Windows,,Good,27,no,
External (Office and Carpark),Staff Carpark,,Good,,,Asphalt finish in generally good condition.
External (Office and Carpark),Kerbing,,Good,,,
External (Office and Carpark),Linemarking,,Fair,,,
External (Office and Carpark),Entrance Cabin,,Good,,,
External (Office and Carpark),Wheel stops,,Good,,,
External (Yard),Asphalt,,Good,,,"Overall in good condition, areas of surface crushing due to long term weights of shipping containers"
External (Yard),Linemarking,,Poor,,,Generally faded in most areas. To be renewed in April 2026.
External (Yard),Bollards,,Fair,,,"Generally in fair condition, in many instances grout around the bases have cracked and are deteriorating. Many of the bollard rag bolts need to be tightened."
External (Yard),Fencing and Gates,,Good,,,Generally in good condition. No significant defects observed.
External (Yard),Drainage Grates,,Good,,,Generally in good condition.
External (Yard),Lighting,,,19,no,
External (Yard),Removal of Site Assets,,,,,

Fire
Location,Asset Sub-Type,Condition,Comments,Last Test Result,Last Test Date
Main Area (1st Floor),Fire Extinguisher,Good,,Pass,
Main Area,Fire Extinguisher,Good,,Pass,
Reception,Fire Extinguisher,Good,,Pass,
Server Room,Fire Extinguisher,Good,,Pass,
Staff Room,Fire Extinguisher,Good,,Pass,
External,Fire Hydrant/Hose Reel,Good,,Pass,
External,Fire Hydrant/Hose Reel,Good,Operational,Pass,2025-11-01
External,Fire Hydrant/Hose Reel,Good,Operational,Pass,2025-11-01
External,Fire Hydrant/Hose Reel,Good,Operational,Pass,2025-11-01
External,Fire Hydrant/Hose Reel,Good,Operational,Pass,2025-11-01
External,Fire Hydrant/Hose Reel,,Operational,Pass,2025-11-01
External,Fire Hydrant/Hose Reel,Good,Operational,Pass,2025-11-01
External,Fire Hydrant/Hose Reel,Good,Operational,Pass,2025-11-01
External,Fire Hydrant/Hose Reel,Good,Operational,Pass,2025-11-01
External,Fire Hydrant/Hose Reel,Good,Operational,Pass,2025-11-01
External,Fire Hydrant/Hose Reel,Good,Operational,Pass,2025-11-01
External,Fire Hydrant/Hose Reel,Good,Operational,Pass,2025-11-01
External,Fire Hydrant/Hose Reel,Good,Operational,Pass,2025-11-01
External,Fire Hydrant/Hose Reel,Good,Operational,Pass,2025-11-01
External,Fire Hydrant/Hose Reel,Good,Operational,Pass,2025-11-01
External,Fire Hydrant/Hose Reel,Good,Operational,Pass,2025-11-01

Gates / Fencing
Location,Asset Sub-Type,Gate Type,Condition,Comments,Lockable (Gate)
External,Gates,Steel Fencing,Good,Operational,yes
External,Gates,Rotating Steel Gate,Good,Operational,yes

HVAC
Location,Asset Sub-Type,Condition,Comments,Last Test Result
Bathroom / Toilets,Ceiling Exhaust Fans,Good,,No Record
Bathroom / Toilets,Ceiling Exhaust Fans,Good,Operational,No Record
Female Toilet (Rear),Ceiling Exhaust Fans,Good,,No Record
Male Toilet (Rear),Ceiling Exhaust Fans,Good,,No Record
Guard Room,Reverse Cycle,Good,Operational,No Record
Main Area (1st Floor),Reverse Cycle,Good,Operational,No Record
Main Area,Reverse Cycle,Good,Operational,No Record
Office 1 (Ground Floor),Reverse Cycle,Good,Operational,No Record
Office 3 (1st Floor),Reverse Cycle,Good,Operational,No Record
Office 4 (1st Floor),Reverse Cycle,Good,Operational,No Record
Server Room,Reverse Cycle,Good,Operational,No Record
Staff Room,Reverse Cycle,Good,Operational,No Record

Plumbing
Location,Asset Sub-Type,Condition,Comments,Last Test Result
External,Hot Water Unit,Good,Operational,No Record
External,Oily Water Seperator,Good,Operational,No Record

Security
Location,Asset Sub-Type,Condition,Comments,Last Test Result
External,Security Alarm System,Good,Operational,No Record

Defibrillator
Location,Asset Sub-Type,Condition,Last Test Result
Main Area,Defibrillator,Good,No Record

